,user,day,day_slot,location,category,new_loc,new_cat
0,3616,0,morning,"{37.74509989054281,-122.42973690096966,San Francisco,CA,United States}","{Professional & Other Places,Residence,}","{37.74509989054281,-122.42973690096966,San Francisco,CA,United States}","{Professional & Other Places,Residence,}"
1,3616,0,afternoon,"{37.7666027991409,-122.429673305453,San Francisco,CA,United States}","{Shop & Service,}","{37.7666027991409,-122.429673305453,San Francisco,CA,United States}","{Shop & Service,}"
2,3616,0,evening_or_night,"{37.76507736486825,-122.39575481805574,San Francisco,CA,United States}","{Residence,}","{37.76507736486825,-122.39575481805574,San Francisco,CA,United States}","{Residence,}"
3,3616,1,morning,"{37.74509989054281,-122.42973690096966,San Francisco,CA,United States}","{Professional & Other Places,Residence,}","{37.74509989054281,-122.42973690096966,San Francisco,CA,United States}","{Professional & Other Places,Residence,}"
4,3616,1,afternoon,"{37.7666027991409,-122.429673305453,San Francisco,CA,United States}","{Shop & Service,}","{37.7666027991409,-122.429673305453,San Francisco,CA,United States}","{Shop & Service,}"
5,3616,1,evening_or_night,"{37.76507736486825,-122.39575481805574,San Francisco,CA,United States}","{Residence,}","{37.76507736486825,-122.39575481805574,San Francisco,CA,United States}","{Residence,}"
6,3616,2,morning,"{37.74509989054281,-122.42973690096966,San Francisco,CA,United States}","{Professional & Other Places,Residence,}","{37.74509989054281,-122.42973690096966,San Francisco,CA,United States}","{Professional & Other Places,Residence,}"
7,3616,2,afternoon,"{37.7666027991409,-122.429673305453,San Francisco,CA,United States}","{Shop & Service,}","{37.7666027991409,-122.429673305453,San Francisco,CA,United States}","{Shop & Service,}"
8,3616,2,evening_or_night,"{37.76507736486825,-122.39575481805574,San Francisco,CA,United States}","{Residence,}","{37.76507736486825,-122.39575481805574,San Francisco,CA,United States}","{Residence,}"
9,3616,3,morning,"{37.74509989054281,-122.42973690096966,San Francisco,CA,United States}","{Professional & Other Places,Residence,}","{37.74509989054281,-122.42973690096966,San Francisco,CA,United States}","{Professional & Other Places,Residence,}"
10,3616,3,afternoon,"{37.7666027991409,-122.429673305453,San Francisco,CA,United States}","{Shop & Service,}","{37.7666027991409,-122.429673305453,San Francisco,CA,United States}","{Shop & Service,}"
11,3616,3,evening_or_night,"{37.76507736486825,-122.39575481805574,San Francisco,CA,United States}","{Residence,}","{37.76507736486825,-122.39575481805574,San Francisco,CA,United States}","{Residence,}"
12,3616,4,morning,"{37.74509989054281,-122.42973690096966,San Francisco,CA,United States}","{Professional & Other Places,Residence,}","{37.74509989054281,-122.42973690096966,San Francisco,CA,United States}","{Professional & Other Places,Residence,}"
13,3616,4,afternoon,"{37.7666027991409,-122.429673305453,San Francisco,CA,United States}","{Shop & Service,}","{37.7666027991409,-122.429673305453,San Francisco,CA,United States}","{Shop & Service,}"
14,3616,4,evening_or_night,"{37.76507736486825,-122.39575481805574,San Francisco,CA,United States}","{Residence,}","{37.76507736486825,-122.39575481805574,San Francisco,CA,United States}","{Residence,}"
15,3616,5,morning,"{37.74509989054281,-122.42973690096966,San Francisco,CA,United States}","{Professional & Other Places,Residence,}","{37.74509989054281,-122.42973690096966,San Francisco,CA,United States}","{Professional & Other Places,Residence,}"
16,3616,5,afternoon,"{37.7666027991409,-122.429673305453,San Francisco,CA,United States}","{Shop & Service,}","{37.7666027991409,-122.429673305453,San Francisco,CA,United States}","{Shop & Service,}"
17,3616,5,evening_or_night,"{37.76507736486825,-122.39575481805574,San Francisco,CA,United States}","{Residence,}","{37.76507736486825,-122.39575481805574,San Francisco,CA,United States}","{Residence,}"
18,3616,6,morning,"{37.74509989054281,-122.42973690096966,San Francisco,CA,United States}","{Professional & Other Places,Residence,}","{37.74509989054281,-122.42973690096966,San Francisco,CA,United States}","{Professional & Other Places,Residence,}"
19,3616,6,afternoon,"{37.7666027991409,-122.429673305453,San Francisco,CA,United States}","{Shop & Service,}","{37.7666027991409,-122.429673305453,San Francisco,CA,United States}","{Shop & Service,}"
20,3616,6,evening_or_night,"{37.76507736486825,-122.39575481805574,San Francisco,CA,United States}","{Residence,}","{37.76507736486825,-122.39575481805574,San Francisco,CA,United States}","{Residence,}"
21,3616,7,morning,"{37.74509989054281,-122.42973690096966,San Francisco,CA,United States}","{Professional & Other Places,Residence,}","{37.74509989054281,-122.42973690096966,San Francisco,CA,United States}","{Professional & Other Places,Residence,}"
22,3616,7,afternoon,"{37.7666027991409,-122.429673305453,San Francisco,CA,United States}","{Shop & Service,}","{37.7666027991409,-122.429673305453,San Francisco,CA,United States}","{Shop & Service,}"
23,3616,7,evening_or_night,"{37.76507736486825,-122.39575481805574,San Francisco,CA,United States}","{Residence,}","{37.76507736486825,-122.39575481805574,San Francisco,CA,United States}","{Residence,}"
24,3616,8,morning,"{37.74509989054281,-122.42973690096966,San Francisco,CA,United States}","{Professional & Other Places,Residence,}","{37.74509989054281,-122.42973690096966,San Francisco,CA,United States}","{Professional & Other Places,Residence,}"
25,3616,8,afternoon,"{37.7666027991409,-122.429673305453,San Francisco,CA,United States}","{Shop & Service,}","{37.7666027991409,-122.429673305453,San Francisco,CA,United States}","{Shop & Service,}"
26,3616,8,evening_or_night,"{37.76507736486825,-122.39575481805574,San Francisco,CA,United States}","{Residence,}","{37.76507736486825,-122.39575481805574,San Francisco,CA,United States}","{Residence,}"
27,3616,9,morning,"{37.74509989054281,-122.42973690096966,San Francisco,CA,United States}","{Professional & Other Places,Residence,}","{37.74509989054281,-122.42973690096966,San Francisco,CA,United States}","{Professional & Other Places,Residence,}"
28,3616,9,afternoon,"{37.7666027991409,-122.429673305453,San Francisco,CA,United States}","{Shop & Service,}","{37.7666027991409,-122.429673305453,San Francisco,CA,United States}","{Shop & Service,}"
29,3616,9,evening_or_night,"{37.76507736486825,-122.39575481805574,San Francisco,CA,United States}","{Residence,}","{37.76507736486825,-122.39575481805574,San Francisco,CA,United States}","{Residence,}"
30,3616,10,morning,"{37.74509989054281,-122.42973690096966,San Francisco,CA,United States}","{Professional & Other Places,Residence,}","{37.74509989054281,-122.42973690096966,San Francisco,CA,United States}","{Professional & Other Places,Residence,}"
31,3616,10,afternoon,"{37.7666027991409,-122.429673305453,San Francisco,CA,United States}","{Shop & Service,}","{37.7666027991409,-122.429673305453,San Francisco,CA,United States}","{Shop & Service,}"
32,3616,10,evening_or_night,"{37.76507736486825,-122.39575481805574,San Francisco,CA,United States}","{Residence,}","{37.76507736486825,-122.39575481805574,San Francisco,CA,United States}","{Residence,}"
