,Unnamed: 0.1,Unnamed: 0,bia_di,bii_di,bit_di,che_de,che_di,elb_di,wri_di,kne_di,ank_di,sho_gi,che_gi,wai_gi,nav_gi,hip_gi,thi_gi,bic_gi,for_gi,kne_gi,cal_gi,ank_gi,wri_gi,age,wgt,hgt,sex
0,488,184,43.2,31.3,34.0,23.0,32.6,15.7,11.5,20.5,15.2,131.6,110.1,90.7,91.9,101.7,58.0,36.8,29.0,36.9,38.9,24.2,17.9,44,90.5,188.0,1
1,4,349,35.2,25.1,33.0,20.0,26.6,11.6,9.1,21.0,12.6,103.4,88.4,78.0,85.6,112.1,75.7,33.8,24.6,38.2,39.8,22.0,14.4,31,73.2,151.1,0
2,227,260,39.5,30.0,31.7,17.3,27.3,12.8,9.2,18.1,12.4,100.5,85.0,69.5,81.5,94.4,55.8,25.9,22.9,36.1,35.3,20.9,14.4,25,62.5,172.9,0
3,2,494,35.3,25.4,28.5,15.1,24.9,10.6,10.4,17.0,12.6,95.9,80.9,60.8,77.4,84.6,51.0,26.8,22.8,34.4,33.1,21.0,15.4,31,46.8,149.9,0
4,287,138,39.4,29.7,33.1,23.0,30.4,14.2,11.6,20.4,15.0,119.4,108.4,97.4,103.7,105.3,55.6,36.6,28.4,38.2,36.6,22.9,18.1,45,84.5,167.6,1
5,207,456,39.2,29.9,34.9,18.5,26.4,14.3,10.8,19.6,14.4,108.2,90.7,75.3,96.3,103.6,59.9,31.5,25.4,35.7,35.8,21.1,16.3,67,67.7,170.2,0
6,257,275,39.6,28.6,31.2,18.0,27.2,12.4,10.1,19.3,13.8,101.4,89.6,72.6,86.3,93.7,56.4,27.4,23.4,37.0,38.4,21.3,15.6,38,67.3,179.9,0
7,258,304,33.8,29.7,32.4,17.3,25.4,13.4,9.6,18.4,13.4,94.5,86.5,68.3,89.2,94.0,57.0,26.0,22.6,35.9,32.5,19.7,14.6,21,60.7,180.3,0
8,81,430,35.1,25.6,29.9,16.8,24.9,12.6,9.6,18.2,12.5,98.7,82.2,65.8,80.2,89.1,55.4,28.4,22.9,33.6,35.0,19.7,14.8,20,57.3,161.3,0
9,166,293,33.3,29.2,32.0,14.8,25.9,12.6,10.4,18.4,13.0,98.7,88.1,65.3,75.8,95.3,55.7,27.7,24.5,33.1,35.4,21.2,15.7,19,58.3,167.6,0
10,444,79,43.5,28.8,34.0,20.6,29.0,14.3,10.5,19.8,14.2,115.0,91.0,76.8,80.0,94.5,54.6,33.2,28.0,37.5,35.6,22.1,16.3,24,74.5,182.4,1
11,496,130,44.2,30.6,33.8,22.1,32.4,15.3,11.5,20.9,16.5,122.4,109.0,86.0,90.2,98.0,59.5,40.0,31.2,38.3,39.0,25.8,19.5,29,89.1,190.5,1
