,Unnamed: 0.1,Unnamed: 0,bia_di,bii_di,bit_di,che_de,che_di,elb_di,wri_di,kne_di,ank_di,sho_gi,che_gi,wai_gi,nav_gi,hip_gi,thi_gi,bic_gi,for_gi,kne_gi,cal_gi,ank_gi,wri_gi,age,wgt,hgt,sex
0,9,405,32.9,26.6,32.2,18.5,25.2,12.0,8.4,19.4,12.0,99.8,88.2,72.9,97.4,102.2,60.1,29.9,24.1,33.8,33.5,21.0,15.1,45,60.4,152.4,0
1,133,486,36.9,28.5,31.5,15.6,27.8,11.6,9.8,17.2,12.9,100.0,83.7,67.6,84.1,90.4,52.4,25.6,23.0,34.5,32.5,21.7,14.6,27,53.6,165.1,0
2,424,27,45.4,31.8,35.2,20.2,32.3,14.6,10.5,20.2,15.3,115.0,100.0,85.0,94.5,105.0,62.0,35.5,28.5,38.0,40.0,23.5,16.7,21,82.8,180.3,1
3,419,172,42.3,27.1,31.7,17.3,29.4,14.4,11.6,21.2,15.8,118.3,100.7,76.5,87.2,96.3,54.2,33.8,27.7,36.4,38.2,23.8,18.2,30,75.5,180.3,1
4,377,77,40.5,27.5,32.3,19.4,28.8,12.6,10.6,18.4,14.0,114.3,92.5,81.0,85.2,92.5,54.7,32.3,26.8,35.8,37.6,21.1,15.8,26,72.0,177.5,1
5,317,151,41.1,25.4,32.0,21.6,28.7,14.3,12.4,19.6,14.3,118.0,104.0,90.0,86.0,96.0,52.5,33.5,29.1,36.0,36.9,23.0,18.0,42,76.8,172.7,1
6,36,383,36.4,27.7,29.8,17.0,25.0,11.2,9.0,16.9,12.2,94.0,80.3,65.0,73.3,84.9,50.8,25.0,22.2,31.6,31.6,18.8,14.2,23,46.4,158.2,0
7,400,195,41.7,28.5,33.8,23.5,32.9,15.6,12.0,18.4,16.3,123.5,111.4,99.7,102.9,105.8,57.8,36.5,30.5,39.0,41.2,25.7,18.8,43,93.6,177.8,1
8,420,28,40.5,28.3,33.4,19.2,28.8,14.6,11.1,20.8,14.5,116.0,88.0,73.5,77.7,97.0,56.3,32.5,27.8,39.0,38.2,23.5,17.8,24,76.4,180.3,1
9,502,17,39.9,30.0,34.5,21.0,29.4,15.6,11.9,21.2,16.0,112.2,100.0,88.3,93.5,105.0,65.8,37.0,28.8,40.9,41.7,24.2,17.8,30,93.8,192.7,1
10,142,432,39.2,31.3,33.8,17.7,29.7,13.2,9.6,17.8,14.4,105.1,94.3,77.5,93.9,101.1,61.6,28.3,23.0,36.5,34.6,21.9,14.7,32,65.5,165.1,0
11,399,144,41.1,27.1,33.8,24.9,29.4,14.4,12.4,18.0,15.1,120.4,108.4,98.0,101.8,101.5,56.9,38.2,29.9,37.7,39.2,24.9,17.6,44,87.7,177.8,1
12,363,96,40.4,28.6,31.4,19.8,27.6,13.9,10.1,20.0,13.4,108.3,93.2,76.2,83.8,92.8,55.2,31.2,26.2,36.8,37.7,22.7,16.2,38,68.4,176.5,1
13,254,423,36.7,29.0,32.0,19.7,25.6,12.4,10.0,18.6,13.0,100.5,86.1,68.3,85.3,96.5,55.1,26.0,22.6,33.9,33.7,21.8,15.0,23,60.0,177.8,0
