,Unnamed: 0.1,Unnamed: 0,bia_di,bii_di,bit_di,che_de,che_di,elb_di,wri_di,kne_di,ank_di,sho_gi,che_gi,wai_gi,nav_gi,hip_gi,thi_gi,bic_gi,for_gi,kne_gi,cal_gi,ank_gi,wri_gi,age,wgt,hgt,sex
0,264,55,37.6,26.6,29.9,17.3,25.6,12.8,10.0,17.0,13.0,103.3,88.8,73.3,77.9,85.7,46.9,30.5,24.8,31.1,30.5,19.0,15.0,24,55.2,164.1,1
1,27,434,32.9,20.9,28.5,19.0,23.0,12.2,9.1,16.0,12.7,93.1,81.0,59.4,73.7,83.3,50.2,26.9,22.5,31.7,30.7,20.5,15.2,29,48.6,157.5,0
2,62,418,34.0,26.4,29.9,19.2,27.5,11.8,9.4,17.3,12.4,100.7,88.2,75.6,94.7,95.8,58.5,30.0,22.2,34.6,32.6,19.9,13.7,41,55.9,160.0,0
3,196,337,36.5,27.0,31.6,16.6,24.4,11.9,9.7,18.0,12.5,94.9,78.8,61.4,78.8,94.0,56.4,27.1,22.8,35.4,34.8,21.0,15.0,23,55.9,170.0,0
4,463,8,44.4,29.8,33.2,21.8,28.8,15.1,11.9,21.0,14.6,120.4,102.5,76.8,80.5,98.0,56.0,34.1,28.0,39.2,36.7,22.5,18.0,27,78.4,184.5,1
5,363,96,40.4,28.6,31.4,19.8,27.6,13.9,10.1,20.0,13.4,108.3,93.2,76.2,83.8,92.8,55.2,31.2,26.2,36.8,37.7,22.7,16.2,38,68.4,176.5,1
6,218,416,38.5,30.8,35.1,15.8,27.3,13.1,10.6,18.6,14.2,97.2,83.5,71.2,83.0,96.5,52.4,25.2,21.7,33.7,32.1,21.0,15.0,32,56.6,172.1,0
7,187,288,37.6,27.3,32.0,18.0,25.6,12.4,9.4,18.8,13.6,100.5,84.4,66.9,79.7,98.8,59.2,28.5,23.7,35.9,34.6,20.0,15.1,23,62.3,168.9,0
8,127,355,38.8,26.3,31.5,19.0,25.9,11.6,9.9,18.8,13.1,103.4,88.3,71.0,87.1,98.7,59.2,28.2,23.6,35.6,35.8,20.8,15.5,23,59.8,164.3,0
9,124,376,35.1,23.4,30.6,16.2,26.8,12.1,9.4,16.1,12.2,98.2,82.0,64.1,74.1,96.0,53.7,26.6,23.2,35.2,35.0,21.0,14.8,23,53.8,164.0,0
10,207,456,39.2,29.9,34.9,18.5,26.4,14.3,10.8,19.6,14.4,108.2,90.7,75.3,96.3,103.6,59.9,31.5,25.4,35.7,35.8,21.1,16.3,67,67.7,170.2,0
11,210,470,38.9,28.5,34.0,19.2,27.5,13.3,10.3,19.1,14.2,108.4,90.4,78.3,95.4,104.9,63.1,32.8,27.0,39.4,39.1,23.0,16.5,26,73.6,170.2,0
12,104,397,38.3,28.3,32.4,18.7,28.3,13.9,10.6,18.9,14.0,109.1,92.4,71.1,91.5,98.2,55.3,29.6,24.6,34.3,36.6,20.7,15.6,40,63.2,162.6,0
13,36,383,36.4,27.7,29.8,17.0,25.0,11.2,9.0,16.9,12.2,94.0,80.3,65.0,73.3,84.9,50.8,25.0,22.2,31.6,31.6,18.8,14.2,23,46.4,158.2,0
14,490,199,41.3,29.7,34.7,22.8,32.0,15.5,11.2,18.4,15.6,118.7,109.5,90.0,96.2,104.3,63.5,39.4,29.9,37.4,37.3,24.3,17.2,21,93.2,188.0,1
15,414,11,40.3,29.0,33.0,20.1,30.3,13.4,10.4,19.4,14.5,117.1,97.7,81.9,81.0,98.4,60.5,34.6,27.9,38.9,40.1,23.2,16.2,23,76.6,180.0,1
16,460,40,42.1,27.5,32.4,18.2,28.0,16.2,12.0,21.0,16.4,118.3,101.1,77.5,78.0,97.0,55.0,37.7,29.9,38.3,39.6,23.3,18.7,24,80.1,184.2,1
17,291,97,40.8,27.1,29.4,17.8,29.4,13.3,10.4,18.5,12.8,108.2,90.0,76.5,77.7,91.2,54.2,33.1,27.2,35.5,35.3,21.5,16.2,20,65.9,169.4,1
18,309,57,39.7,28.6,32.1,19.1,27.1,13.4,10.0,18.2,14.8,104.3,91.3,72.7,83.2,91.4,51.2,27.8,26.0,34.8,34.7,21.1,15.3,52,61.4,171.5,1
19,423,119,40.5,27.8,31.1,21.8,30.6,15.0,11.6,20.4,15.2,118.6,105.4,84.0,90.4,94.8,57.6,38.7,30.2,38.6,38.2,22.8,18.2,33,82.7,180.3,1
