,Unnamed: 0.1,Unnamed: 0,bia_di,bii_di,bit_di,che_de,che_di,elb_di,wri_di,kne_di,ank_di,sho_gi,che_gi,wai_gi,nav_gi,hip_gi,thi_gi,bic_gi,for_gi,kne_gi,cal_gi,ank_gi,wri_gi,age,wgt,hgt,sex
0,485,235,40.1,26.4,32.0,21.8,30.2,15.8,12.4,20.7,15.8,121.7,109.1,78.9,91.0,98.1,55.7,38.5,30.1,37.2,36.8,23.4,19.6,33,85.9,188.0,1
1,23,493,38.5,25.6,31.7,17.0,25.6,11.8,10.2,16.8,12.9,92.8,87.6,74.7,77.0,97.7,57.0,28.1,23.1,34.4,32.7,20.9,15.2,19,60.0,156.2,0
2,435,6,43.3,27.0,31.5,19.6,31.3,14.0,11.5,18.8,13.9,119.8,99.9,82.5,80.1,95.3,57.5,33.0,28.0,36.6,36.1,23.5,16.9,21,74.8,181.5,1
3,257,275,39.6,28.6,31.2,18.0,27.2,12.4,10.1,19.3,13.8,101.4,89.6,72.6,86.3,93.7,56.4,27.4,23.4,37.0,38.4,21.3,15.6,38,67.3,179.9,0
4,502,17,39.9,30.0,34.5,21.0,29.4,15.6,11.9,21.2,16.0,112.2,100.0,88.3,93.5,105.0,65.8,37.0,28.8,40.9,41.7,24.2,17.8,30,93.8,192.7,1
5,365,174,40.5,28.7,30.4,22.1,29.2,14.3,11.2,18.5,14.5,116.5,104.2,84.2,84.0,93.2,55.0,33.0,25.4,35.6,36.4,22.8,15.9,35,73.6,176.5,1
6,127,355,38.8,26.3,31.5,19.0,25.9,11.6,9.9,18.8,13.1,103.4,88.3,71.0,87.1,98.7,59.2,28.2,23.6,35.6,35.8,20.8,15.5,23,59.8,164.3,0
7,279,207,40.3,28.3,30.6,18.2,29.2,12.9,10.6,20.2,14.2,112.0,96.0,81.5,80.5,89.5,52.0,30.3,25.0,36.0,35.0,22.4,16.7,62,66.8,167.6,1
8,94,342,35.2,24.1,26.9,17.9,23.6,12.0,9.5,17.5,11.5,103.0,84.6,64.4,77.9,91.0,53.4,26.6,23.3,32.7,33.0,19.4,14.2,25,52.2,162.5,0
9,434,74,38.7,24.6,28.5,18.3,29.8,14.0,11.2,18.9,13.6,110.8,92.5,73.5,76.4,92.0,53.1,30.6,27.1,36.0,36.0,23.8,17.5,27,66.0,181.1,1
10,96,401,35.1,28.3,29.7,18.2,27.3,13.0,9.3,17.7,13.8,96.6,84.5,61.6,81.0,87.6,51.6,27.4,23.7,32.4,32.9,20.3,14.6,30,50.0,162.6,0
11,351,100,41.6,28.0,35.0,24.2,31.0,13.4,11.2,20.6,14.4,123.0,108.3,94.0,98.0,108.2,66.8,35.6,27.3,39.5,43.0,25.3,17.7,45,87.7,175.3,1
12,462,84,39.8,28.7,33.3,19.3,29.2,13.5,11.6,19.5,14.6,106.9,92.5,75.2,80.2,91.6,49.6,29.2,26.1,36.2,35.7,22.1,16.7,34,68.0,184.4,1
13,224,458,37.1,29.2,32.0,18.0,26.1,13.2,10.2,19.2,14.4,102.6,88.7,72.2,87.8,96.1,61.1,29.5,24.6,39.1,38.7,26.0,15.5,21,70.5,172.7,0
14,411,194,43.0,29.4,33.8,24.7,31.5,14.2,11.2,19.4,14.2,119.7,112.7,112.1,105.9,106.3,56.9,35.7,27.8,37.3,36.6,22.7,16.4,46,92.7,179.1,1
15,332,179,41.3,24.7,35.4,22.5,30.2,14.8,11.3,20.4,16.0,114.5,99.0,88.7,91.0,100.0,57.5,34.0,28.3,40.9,38.8,26.4,18.1,28,82.5,174.0,1
16,353,213,42.5,29.4,34.4,19.9,34.0,14.5,11.0,21.3,14.4,124.5,103.4,93.8,92.7,112.2,66.2,34.8,30.1,45.7,43.6,26.9,17.0,30,91.1,175.3,1
17,498,141,43.6,28.0,32.4,27.5,33.5,14.6,11.7,21.4,15.1,128.8,115.0,95.6,101.9,107.9,64.6,37.1,30.0,41.8,39.6,24.7,18.2,22,108.6,190.5,1
18,99,454,37.8,28.5,33.5,18.0,27.1,12.9,10.4,18.6,13.4,100.8,84.7,65.0,84.5,94.7,54.8,28.9,24.4,34.7,34.8,22.5,15.3,45,54.5,162.6,0
19,46,250,34.8,25.9,30.2,16.4,24.2,11.3,8.9,17.0,12.2,88.0,75.0,61.2,66.5,91.0,53.0,24.0,22.0,32.5,32.5,19.0,14.0,19,49.2,159.5,0
20,72,505,34.7,24.9,24.7,17.3,24.2,12.0,10.2,18.0,13.6,91.9,78.1,57.9,75.1,86.9,51.8,27.4,24.0,34.4,34.1,21.2,15.5,33,48.6,160.7,0
21,179,350,35.8,27.7,28.9,16.4,25.6,11.5,9.1,17.1,12.3,94.6,80.2,60.7,77.0,89.9,53.3,25.2,22.4,34.2,32.2,19.0,14.6,22,53.4,168.2,0
22,121,289,37.6,28.7,30.8,19.0,25.2,13.1,11.5,18.6,13.6,101.2,87.6,67.9,82.7,93.5,57.0,29.6,24.5,37.1,36.3,20.6,15.2,24,58.5,163.8,0
23,369,224,42.1,28.7,33.5,25.2,29.4,14.3,11.5,18.0,13.8,125.8,106.7,97.9,94.7,104.6,60.8,36.2,28.7,37.7,39.4,22.6,17.5,36,87.9,176.5,1
24,329,92,42.0,27.6,32.2,19.7,29.4,13.9,10.0,18.7,13.8,113.0,99.8,80.3,80.8,93.0,55.4,33.3,28.0,36.0,37.8,20.3,16.5,44,73.4,174.0,1
25,373,87,43.2,26.3,30.5,19.7,30.6,14.4,12.3,20.2,13.6,124.2,106.7,75.2,77.8,94.5,57.4,36.7,29.9,38.1,36.0,22.6,17.3,21,72.5,177.0,1
26,281,170,40.9,29.0,32.2,20.2,29.2,13.8,10.4,18.4,14.4,118.2,101.8,79.5,90.1,95.3,54.8,34.2,28.5,36.6,36.2,22.8,17.3,25,69.1,167.6,1
27,62,418,34.0,26.4,29.9,19.2,27.5,11.8,9.4,17.3,12.4,100.7,88.2,75.6,94.7,95.8,58.5,30.0,22.2,34.6,32.6,19.9,13.7,41,55.9,160.0,0
28,299,228,41.1,24.0,29.4,21.6,30.8,13.6,11.7,18.8,14.6,122.4,107.5,92.2,88.6,97.5,53.7,34.3,27.6,36.0,37.5,23.3,16.7,45,77.3,170.2,1
29,327,15,41.0,26.8,32.2,21.9,28.6,14.9,10.6,17.8,14.0,107.5,101.5,78.0,89.5,95.0,57.0,36.0,29.0,34.5,35.0,22.0,16.5,23,71.0,174.0,1
30,263,125,38.7,26.8,31.5,21.4,27.8,13.8,10.8,18.2,13.3,113.8,100.9,90.6,93.3,97.7,58.0,34.8,28.0,34.1,35.8,22.2,16.3,33,72.2,163.8,1
31,495,162,45.4,30.8,35.6,20.9,29.7,15.2,10.8,18.6,15.0,122.6,106.5,90.3,101.1,101.6,57.2,35.4,28.6,40.4,37.8,24.9,17.9,34,84.1,190.5,1
32,239,269,38.0,29.6,32.7,21.3,28.7,13.7,10.6,21.5,14.4,111.4,94.5,82.2,94.2,110.2,69.0,32.5,26.8,40.5,38.6,23.0,16.6,26,82.5,175.0,0
33,161,290,34.9,28.0,30.8,15.6,24.2,11.2,9.2,17.9,13.2,96.0,81.0,67.8,73.0,92.9,55.8,26.3,23.0,32.3,30.0,18.8,14.3,20,54.5,167.6,0
34,436,160,41.1,27.8,32.9,18.0,26.8,14.6,11.2,19.5,15.8,109.2,94.1,81.2,84.0,91.6,51.5,33.0,27.0,35.2,35.5,23.1,16.3,37,70.5,181.6,1
