Product Name,Product Link,Product Price,Product Category,Image & Anchor Links,Full Description,Left Eye Power,Right Eye Power,Sale Price,Product Subcategory
Lava Gray,https://adasat.online/kw-en/product-details/colored-lenses/illuzion/shweiqan-collection/lava-gray,12.0,Illuzion,"https://cdn.adasat.online/product/product11721312541.jpg, https://cdn.adasat.online/product/additional/product21721312542.jpg, https://cdn.adasat.online/product/product11721312541.jpg","GENERAL DESCRIPTION
GENERAL INFO:
PACKAGING: 1 box contains 2 lenses
REPLACEMENT: 3 Month
LENS MATERIAL: 60% polyhema 40% water
LENS SEGMENT: Colored lens
DIAMETER: 14.5
BASE CURVE: 8.6
Local Delivery within 48 working hours
Cash on delivery service cost 1 KD
Working hours: 10:00 AM - 7:00 PM Kuwait Time
Customer service 00965 22282990
Delivery to: (Sabah Al Ahmad, Al Wafra, Umm Al Hayman, Al Khairan, South Abdullah Al Mubarak, West Abdullah Al Mubarak, Ahmadi) is Saturday, Monday, Wednesday Only","0.00,-0.75,-1.00,-1.25,-1.50,-1.75,-2.00,-2.25,-2.50,-2.75,-3.00,-3.25,-3.50,-3.75,-4.00,-4.50,-5.00,-5.50,-6.00","0.00,-0.75,-1.00,-1.25,-1.50,-1.75,-2.00,-2.25,-2.50,-2.75,-3.00,-3.25,-3.50,-3.75,-4.00,-4.50,-5.00,-5.50,-6.00",,Shweiqan Collection
Arina,https://adasat.online/kw-en/product-details/colored-lenses/illuzion/shweiqan-collection/arina,12.0,Illuzion,"https://cdn.adasat.online/product/additional/product21724525532.jpg, https://cdn.adasat.online/product/product11724525532.jpg, https://cdn.adasat.online/product/additional/product21724525532.jpg, https://cdn.adasat.online/product/product11724525532.jpg","GENERAL DESCRIPTION
GENERAL INFO:
PACKAGING: 1 box contains 2 lenses
REPLACEMENT: 3 Month
LENS MATERIAL: 60% polyhema 40% water
LENS SEGMENT: Colored lens
DIAMETER: 14.5
BASE CURVE: 8.6
Local Delivery within 48 working hours
Cash on delivery service cost 1 KD
Working hours: 10:00 AM - 7:00 PM Kuwait Time
Customer service 00965 22282990
Delivery to: (Sabah Al Ahmad, Al Wafra, Umm Al Hayman, Al Khairan, South Abdullah Al Mubarak, West Abdullah Al Mubarak, Ahmadi) is Saturday, Monday, Wednesday Only","0.00,-0.75,-1.00,-1.25,-1.50,-1.75,-2.00,-2.25,-2.50,-2.75,-3.00,-3.25,-3.50,-3.75,-4.00,-4.50,-5.00,-5.50,-6.00","0.00,-0.75,-1.00,-1.25,-1.50,-1.75,-2.00,-2.25,-2.50,-2.75,-3.00,-3.25,-3.50,-3.75,-4.00,-4.50,-5.00,-5.50,-6.00",,Shweiqan Collection
Anya,https://adasat.online/kw-en/product-details/colored-lenses/illuzion/shweiqan-collection/anya,12.0,Illuzion,"https://cdn.adasat.online/product/product11721312199.jpg, https://cdn.adasat.online/product/additional/product21721312286.jpg, https://cdn.adasat.online/product/product11721312199.jpg","GENERAL DESCRIPTION
GENERAL INFO:
PACKAGING: 1 box contains 2 lenses
REPLACEMENT: 3 Month
LENS MATERIAL: 60% polyhema 40% water
LENS SEGMENT: Colored lens
DIAMETER: 14.5
BASE CURVE: 8.6
Local Delivery within 48 working hours
Cash on delivery service cost 1 KD
Working hours: 10:00 AM - 7:00 PM Kuwait Time
Customer service 00965 22282990
Delivery to: (Sabah Al Ahmad, Al Wafra, Umm Al Hayman, Al Khairan, South Abdullah Al Mubarak, West Abdullah Al Mubarak, Ahmadi) is Saturday, Monday, Wednesday Only","0.00,-0.75,-1.00,-1.25,-1.50,-1.75,-2.00,-2.25,-2.50,-2.75,-3.00,-3.25,-3.50,-3.75,-4.00,-4.50,-5.00,-5.50,-6.00","0.00,-0.75,-1.00,-1.25,-1.50,-1.75,-2.00,-2.25,-2.50,-2.75,-3.00,-3.25,-3.50,-3.75,-4.00,-4.50,-5.00,-5.50,-6.00",,Shweiqan Collection
Elia,https://adasat.online/kw-en/product-details/colored-lenses/illuzion/shweiqan-collection/elia,12.0,Illuzion,"https://cdn.adasat.online/product/product11721312475.jpg, https://cdn.adasat.online/product/additional/product21721312475.jpg, https://cdn.adasat.online/product/product11721312475.jpg","GENERAL DESCRIPTION
GENERAL INFO:
PACKAGING: 1 box contains 2 lenses
REPLACEMENT: 3 Month
LENS MATERIAL: 60% polyhema 40% water
LENS SEGMENT: Colored lens
DIAMETER: 14.5
BASE CURVE: 8.6
Local Delivery within 48 working hours
Cash on delivery service cost 1 KD
Working hours: 10:00 AM - 7:00 PM Kuwait Time
Customer service 00965 22282990
Delivery to: (Sabah Al Ahmad, Al Wafra, Umm Al Hayman, Al Khairan, South Abdullah Al Mubarak, West Abdullah Al Mubarak, Ahmadi) is Saturday, Monday, Wednesday Only","0.00,-0.75,-1.00,-1.25,-1.50,-1.75,-2.00,-2.25,-2.50,-2.75,-3.00,-3.25,-3.50,-3.75,-4.00,-4.50,-5.00,-5.50,-6.00","0.00,-0.75,-1.00,-1.25,-1.50,-1.75,-2.00,-2.25,-2.50,-2.75,-3.00,-3.25,-3.50,-3.75,-4.00,-4.50,-5.00,-5.50,-6.00",,Shweiqan Collection
Lilly,https://adasat.online/kw-en/product-details/colored-lenses/illuzion/shweiqan-collection/lilly,12.0,Illuzion,"https://cdn.adasat.online/product/additional/product21721312425.jpg, https://cdn.adasat.online/product/product11721312425.jpg, https://cdn.adasat.online/product/additional/product21721312425.jpg, https://cdn.adasat.online/product/product11721312425.jpg","GENERAL DESCRIPTION
GENERAL INFO:
PACKAGING: 1 box contains 2 lenses
REPLACEMENT: 3 Month
LENS MATERIAL: 60% polyhema 40% water
LENS SEGMENT: Colored lens
DIAMETER: 14.5
BASE CURVE: 8.6
Local Delivery within 48 working hours
Cash on delivery service cost 1 KD
Working hours: 10:00 AM - 7:00 PM Kuwait Time
Customer service 00965 22282990
Delivery to: (Sabah Al Ahmad, Al Wafra, Umm Al Hayman, Al Khairan, South Abdullah Al Mubarak, West Abdullah Al Mubarak, Ahmadi) is Saturday, Monday, Wednesday Only","0.00,-0.75,-1.00,-1.25,-1.50,-1.75,-2.00,-2.25,-2.50,-2.75,-3.00,-3.25,-3.50,-3.75,-4.00,-4.50,-5.00,-5.50,-6.00","0.00,-0.75,-1.00,-1.25,-1.50,-1.75,-2.00,-2.25,-2.50,-2.75,-3.00,-3.25,-3.50,-3.75,-4.00,-4.50,-5.00,-5.50,-6.00",,Shweiqan Collection
Bobo Brown,https://adasat.online/kw-en/product-details/colored-lenses/illuzion/shweiqan-collection/bobo-brown,12.0,Illuzion,"https://cdn.adasat.online/product/additional/product21721312364.jpg, https://cdn.adasat.online/product/product11721312363.jpg, https://cdn.adasat.online/product/additional/product21721312364.jpg, https://cdn.adasat.online/product/product11721312363.jpg","GENERAL DESCRIPTION
GENERAL INFO:
PACKAGING: 1 box contains 2 lenses
REPLACEMENT: 3 Month
LENS MATERIAL: 60% polyhema 40% water
LENS SEGMENT: Colored lens
DIAMETER: 14.5
BASE CURVE: 8.6
Local Delivery within 48 working hours
Cash on delivery service cost 1 KD
Working hours: 10:00 AM - 7:00 PM Kuwait Time
Customer service 00965 22282990
Delivery to: (Sabah Al Ahmad, Al Wafra, Umm Al Hayman, Al Khairan, South Abdullah Al Mubarak, West Abdullah Al Mubarak, Ahmadi) is Saturday, Monday, Wednesday Only","0.00,-0.75,-1.00,-1.25,-1.50,-1.75,-2.00,-2.25,-2.50,-2.75,-3.00,-3.25,-3.50,-3.75,-4.00,-4.50,-5.00,-5.50,-6.00","0.00,-0.75,-1.00,-1.25,-1.50,-1.75,-2.00,-2.25,-2.50,-2.75,-3.00,-3.25,-3.50,-3.75,-4.00,-4.50,-5.00,-5.50,-6.00",,Shweiqan Collection
Gel eye mask Hot / Cold,https://adasat.online/kw-en/product-details/accessories/self-care/gel-eye-mask/gel-eye-mask-hot-cold,1.9,Self Care,https://cdn.adasat.online/product/product11713780096.jpg,"GENERAL DESCRIPTION
GENERAL INFO:
Hot & cold therapy treatment for relaxation, fatigue, dark circles, puffiness, wrinkles, and headaches
Helps with sleeping, relaxation, and waking up refreshed
Treats dark circles, puffy eyes, headaches, and migraines over time
Filled with eco-friendly gel beads and adjustable elastic straps for a comfortable fit
Can be chilled in the refrigerator for cold therapy or heated in the microwave for hot therapy
  Local Delivery within 48 working hours
Cash on delivery service cost 1 KD
Working hours: 10:00 AM - 7:00 PM Kuwait Time
Customer service 00965 22282990
Delivery to: (Sabah Al Ahmad, Al Wafra, Umm Al Hayman, Al Khairan, South Abdullah Al Mubarak, West Abdullah Al Mubarak, Ahmadi) is Saturday, Monday, Wednesday Only",not there,not there,,Gel Eye Mask
Biofinity Pack of 6,https://adasat.online/kw-en/product-details/prescription/cooper-vision-/biofinity-xr/biofinity-pack-of-6,57.0,Cooper Vision ,https://cdn.adasat.online/product/product11720952253.jpg,"GENERAL DESCRIPTION
GENERAL INFO:
· PACKAGING 
1 box contains 6 lenses
· REPLACEMENT
Monthly disposable
· LENS MATERIAL
48%H2O, Comfilcon A
· LENS SEGMENT
Prescription
· DIAMETER
14.0
· BASE CURVE
8.6
Local Delivery within 48 working hours
Cash on delivery service cost 1 KD
Working hours: 10:00 AM - 7:00 PM Kuwait Time
Customer service 00965 22282990
Delivery to: (Sabah Al Ahmad, Al Wafra, Umm Al Hayman, Al Khairan, South Abdullah Al Mubarak, West Abdullah Al Mubarak, Ahmadi) is Saturday, Monday, Wednesday Only","+12.00,+11.00,+10.00,+9.50,+9.00,-12.50,-13.00,-13.50,-14.00,-15.00,-16.00,-17.00,-17.50,-18.50,-19.00","+12.00,+11.00,+10.00,+9.50,+9.00,-12.50,-13.00,-13.50,-14.00,-15.00,-16.00,-17.00,-17.50,-18.50,-19.00",,Biofinity Xr
Biofinity Pack of 3,https://adasat.online/kw-en/product-details/prescription/cooper-vision-/biofinity-xr/biofinity-pack-of-3,32.0,Cooper Vision ,https://cdn.adasat.online/product/product11720951332.jpg,"GENERAL DESCRIPTION
GENERAL INFO:
PACKAGING: 1 box contains 2 lenses
REPLACEMENT: Monthly disposable
LENS MATERIAL: 48%H2O, Comfilcon A
LENS SEGMENT: Prescription
DIAMETER: 14.0
BASE CURVE: 8.6
Local Delivery within 48 working hours
Cash on delivery service cost 1 KD
Working hours: 10:00 AM - 7:00 PM Kuwait Time
Customer service 00965 22282990
Delivery to: (Sabah Al Ahmad, Al Wafra, Umm Al Hayman, Al Khairan, South Abdullah Al Mubarak, West Abdullah Al Mubarak, Ahmadi) is Saturday, Monday, Wednesday Only","+15.00,+14.50,+14.00,+13.50,+13.00,+12.50,+12.00,+11.50,+11.00,+10.50,+10.00,+9.50,+9.00,+8.50,-12.50,-13.00,-13.50,-14.00,-14.50,-15.00,-15.50,-16.00,-16.50,-17.00,-18.00,-18.50,-19.00,-19.50,-20.00","+15.00,+14.50,+14.00,+13.50,+13.00,+12.50,+12.00,+11.50,+11.00,+10.50,+10.00,+9.50,+9.00,+8.50,-12.50,-13.00,-13.50,-14.00,-14.50,-15.00,-15.50,-16.00,-16.50,-17.00,-18.00,-18.50,-19.00,-19.50,-20.00",,Biofinity Xr
Compact Reading Glasses Black,https://adasat.online/kw-en/product-details/prescription/reading-glasses/ireader/compact-reading-glasses-black,12.0,Reading Glasses,"https://cdn.adasat.online/product/additional/product31720532536.jpg, https://cdn.adasat.online/product/product11720532535.jpg, https://cdn.adasat.online/product/additional/product21720532536.jpg, https://cdn.adasat.online/product/additional/product31720532536.jpg, https://cdn.adasat.online/product/product11720532535.jpg","GENERAL INFO:
Local Delivery within 48 working hours
Cash on delivery service cost 1 KD
Working hours: 10:00 AM - 7:00 PM Kuwait Time
Customer service 00965 22282990
Delivery to: (Sabah Al Ahmad, Al Wafra, Umm Al Hayman, Al Khairan, South Abdullah Al Mubarak, West Abdullah Al Mubarak, Ahmadi) is Saturday, Monday, Wednesday Only","+3.00,+2.50,+2.00,+1.50,+1.00","+3.00,+2.50,+2.00,+1.50,+1.00",,Ireader
