Supplier,GTIN,Name,Category,Brand,Product Link,position,Price,Currency,Inventory,Unit
,6290171002338,Afnan 9 PM Eau De Parfum 100ml,Eau De Parfum,Afnan,https://static.prod.qogita.com/files/images/variants/VhLdYFBqgAFfk8ps9Jitu8.jpg,1,17.99,EUR,463,1
,6291108735411,Men's Asad Eau De Parfum Spray 3.4 oz Fragrances,Eau De Parfum,Lattafa,https://static.prod.qogita.com/files/images/variants/JojSNinawipnDA6qqRqPu8.jpg,2,13.89,EUR,624,1
,6290360594552,Lattafa Yara TOUS,Eau De Parfum,Lattafa,https://static.prod.qogita.com/files/images/variants/P4zjkm7h3XnGof6crSS3hV.jpg,3,12.10,EUR,409,1
,6290360591421,Yara Moi by Lattafa 100ml Eau De Perfume Spray,Eau De Parfum,Lattafa,https://static.prod.qogita.com/files/images/variants/k4ZCsCAXWYWEKeGcHKC3J2.jpg,4,11.96,EUR,2036,1
,3423470300161,Issey Miyake L'eau D'Issey Eau De Toilette Fragrance Spray 100 ml,Eau De Toilette,Issey Miyake,https://static.prod.qogita.com/files/images/variants/ja7TnKDdyFovWJwQ77Eb9q.jpg,5,34.16,EUR,340,1
,6291107458328,Lattafa Oud For Glory Bade'e Al Oud Eau De Parfum 100ml Unisex,Eau De Parfum,Zkmagic,https://static.prod.qogita.com/files/images/variants/ZCzydkyUnymj9YesimstfW.jpg,6,12.13,EUR,13,1
,6291108730515,Yara by Lattafa Perfumes Eau De Parfum 100ml 3.4 fl oz for Women,Eau De Parfum,Lattafa,https://static.prod.qogita.com/files/images/variants/TWttPXFk3XuSBGeaRmb2jj.jpg,7,13.89,EUR,3000,1
,3423470890020,Narciso Rodriguez For Her Eau de Toilette 100ml,Eau De Toilette,Narciso Rodriguez,https://static.prod.qogita.com/files/images/variants/QFbedQR4K3BSe36KiRSuzc.jpg,8,46.24,EUR,258,1
,3508441001114,Aventus by Creed Eau De Parfum 100ml Musk,Eau De Parfum,Creed,https://static.prod.qogita.com/files/images/variants/P2ZFHzppJDdobdgCY9xFXm.jpg,9,191.79,EUR,6,1
,6291108737194,Khamrah Eau De Parfum Unisex 100ml Vanilla Sweet Warm Spicy Woody by Lattafa Perfumes,Eau De Parfum,Lattafa,https://static.prod.qogita.com/files/images/variants/hwtict9pmM4WTa3aiMDGhV.jpg,10,20.56,EUR,757,1
