GTIN,Variant Name,Category Name,Brand Name,Price (€),Inventory,Image URL,Seller,MOV (€),Available Qty,Ordering Qty,Total Price (€)
6291108730515,Yara by Lattafa Perfumes Eau De Parfum 100ml 3.4 fl oz for Women,Eau De Parfum,Lattafa,13.49,712,https://static.prod.qogita.com/files/images/variants/TWttPXFk3XuSBGeaRmb2jj.jpg,GELD3O,350.00,0,0,0.00
6085010044712,Armaf Club De Nuit Intense Man 105ml/3.6oz Eau de Toilette Cologne Spray for Men Floral 105ml,Eau De Toilette,Armaf,18.96,4994,https://static.prod.qogita.com/files/images/variants/2h9t9tGNtYLxpkmxR8bGX4.jpg,VV9JDK,350.00,0,0,0.00
6290360594552,Lattafa Yara TOUS,Eau De Parfum,Lattafa,12.10,2287,https://static.prod.qogita.com/files/images/variants/P4zjkm7h3XnGof6crSS3hV.jpg,VV9JDK,350.00,0,0,0.00
6291107456041,LATTAFA FAKHAR by Lattafa Eau de Parfum Spray 3.4 oz,Eau De Parfum,Lattafa,12.86,863,https://static.prod.qogita.com/files/images/variants/7J8pi6Saxg6uHJrmQfXk3i.jpg,XDR492,350.00,0,0,0.00,1
6291108735411,Men's Asad Eau De Parfum Spray 3.4 oz Fragrances,Eau De Parfum,Lattafa,13.82,420,https://static.prod.qogita.com/files/images/variants/JojSNinawipnDA6qqRqPu8.jpg,O8V81R,600.00,0,0,0.00,1
3349666007921,Paco Rabanne 1 Million For Men 3.4 Oz Edt Spray 100ml,Eau De Toilette,Paco Rabanne,52.34,11,https://static.prod.qogita.com/files/images/variants/4m32DiKAePkiZNyx4jpHnQ.jpg,9975VV,350.00,0,0,0.00,1
3346130009603,Terre D'Hermes by Hermes Eau De Toilette For Men 100ml,Eau De Toilette,Hermès,52.94,143,https://static.prod.qogita.com/files/images/variants/dfAUgB5rNfYpCnxAeLTWMJ.jpg,VVQKD9,350.00,0,0,0.00,1
0020714999346,Aromatics Elixir by Clinique Eau de Parfum For Women 100ml,Eau De Parfum,Clinique,24.31,200,https://static.prod.qogita.com/files/images/variants/ewtaZYerwnQdZiBvwXyKbq.jpg,87WEZ3,1150.00,0,0,0.00,1
3508441001114,Aventus by Creed Eau De Parfum 100ml Musk,Eau De Parfum,Creed,196.71,22,https://static.prod.qogita.com/files/images/variants/P2ZFHzppJDdobdgCY9xFXm.jpg,2V7Q9X,350.00,0,0,0.00,1
6291108737194,Khamrah Eau De Parfum Unisex 100ml Vanilla Sweet Warm Spicy Woody by Lattafa Perfumes,Eau De Parfum,Lattafa,18.78,1319,https://static.prod.qogita.com/files/images/variants/hwtict9pmM4WTa3aiMDGhV.jpg,EMQWQQ,400.00,0,0,0.00,1
6290171002338,Afnan 9 PM Eau De Parfum 100ml,Eau De Parfum,Afnan,17.47,459,https://static.prod.qogita.com/files/images/variants/VhLdYFBqgAFfk8ps9Jitu8.jpg,16E6GQ,350.00,0,0,0.00,1
3414202000572,Davidoff Cool Water for Men Eau De Toilette 125 ml,Eau De Toilette,Davidoff,18.24,1402,https://static.prod.qogita.com/files/images/variants/XfVqmsT7KJsthfr5emHvai.jpg,9975VV,350.00,0,0,0.00,1
3423470890129,Narciso Rodriguez Edp vapo to spray 100ml,Eau De Parfum,Narciso Rodriguez,51.59,155,https://static.prod.qogita.com/files/images/variants/5Uv5HD7seC7w3RTgqzjvLw.jpg,GELD3O,350.00,0,0,0.00,1
6291107456058,Lattafa Fakhar Men Eau De Parfum - 100ml,Eau De Parfum,Lattafa,12.77,759,https://static.prod.qogita.com/files/images/variants/NFLUmmCQ7LLFKadEDJhoEq.jpg,VV9JDK,350.00,0,0,0.00,1
8011003993819,Bright Crystal Eau de Toilette Vaporizer 50ml,Eau De Toilette,Versace,32.37,36,https://static.prod.qogita.com/files/images/variants/X3SC35SoNPuZVGp5rrmSpZ.jpg,VV9JDK,350.00,0,0,0.00,1
6290360591421,Yara Moi by Lattafa 100ml Eau De Perfume Spray,Eau De Parfum,Lattafa,13.40,495,https://static.prod.qogita.com/files/images/variants/k4ZCsCAXWYWEKeGcHKC3J2.jpg,GELD3O,350.00,0,0,0.00,1
6290360593661,Lattafa Khamrah Qahwa EDP Unisex 3.4 Fl oz,Eau De Parfum,Lattafa,18.66,2696,https://static.prod.qogita.com/files/images/variants/9pDnDpy72aNQ7UwWAzcx4j.jpg,GELD3O,350.00,0,0,0.00,1
0888066000079,Tom Ford Black Orchid Eau De Perfume Spray 100ml,Eau De Parfum,Tom Ford,92.25,24,https://static.prod.qogita.com/files/images/variants/JfDhnf5iQrRERcorhrEBJK.jpg,LEKM75,350.00,0,0,0.00,1
6290360593142,Lattafa Badee Al Oud Sublime EDP 3.4 fl oz,Eau De Parfum,Lattafa,13.27,43,https://static.prod.qogita.com/files/images/variants/35BwvnWM6mzymbRn97tHPS.jpg,VV9JDK,350.00,0,0,0.00,1
8011003993826,Versace Bright Crystal Women's Perfume EDT,Eau De Toilette,Versace,44.20,305,https://static.prod.qogita.com/files/images/variants/TkBVaD7ysCWFtboqh2ouSF.jpg,8738KJ,350.00,0,0,0.00,1
3423470300161,Issey Miyake L'eau D'Issey Eau De Toilette Fragrance Spray 100 ml,Eau De Toilette,Issey Miyake,32.61,302,https://static.prod.qogita.com/files/images/variants/ja7TnKDdyFovWJwQ77Eb9q.jpg,VV9JDK,350.00,0,0,0.00,1
3423470890013,Narciso Rodriguez For Her Eau De Toilette Spray 50ml,Eau De Toilette,Narciso Rodriguez,38.02,41,https://static.prod.qogita.com/files/images/variants/PDHGkGtKET2aRTWivs5xBn.jpg,VVQKD9,350.00,0,0,0.00,1
8018365260757,Versace Blue Jeans Eau De Toilette for Men 75ml,Eau De Toilette,Versace,11.18,987,https://static.prod.qogita.com/files/images/variants/T8PcQdSJMe9AkYw2CvgXSf.jpg,EMV827,400.00,0,0,0.00,1
3147758034905,Lancome Tresor Eau de Parfum Spray 30ml,Eau De Parfum,Lancôme,24.26,103,https://static.prod.qogita.com/files/images/variants/2KLo7gcihQDRb2vxtSJEac.jpg,16QJWR,600.00,0,0,0.00,1
3423470890020,Narciso Rodriguez For Her Eau de Toilette 100ml,Eau De Toilette,Narciso Rodriguez,45.87,1268,https://static.prod.qogita.com/files/images/variants/QFbedQR4K3BSe36KiRSuzc.jpg,VVQKD9,350.00,0,0,0.00,1
3414202011752,Davidoff Cool Water Eau De Toilette Spray 100ml,Eau De Toilette,Davidoff,15.43,413,https://static.prod.qogita.com/files/images/variants/MWjmsJWCV2o5MMcXQWfWdg.jpg,VV9JDK,350.00,0,0,0.00,1
3605521816658,Si by Giorgio Armani Eau de Parfum For Women 100ml Chypre,Eau De Parfum,Giorgio Armani,71.84,598,https://static.prod.qogita.com/files/images/variants/aCyRJ6h3BNnjiwR4MX39nb.jpg,EMV827,400.00,0,0,0.00,1
3349668612598,Paco Rabanne Eau De Toilette for Men 50ml,Eau De Toilette,Paco Rabanne,39.78,450,https://static.prod.qogita.com/files/images/variants/KDp79Ba6L4umJo5bpywm5X.jpg,87WEZ3,1150.00,0,0,0.00,1
8057971183661,Dolce & Gabbana Q Eau de Parfum Spray for Women 100ml,Eau De Parfum,Dolce & Gabbana,46.19,572,https://static.prod.qogita.com/files/images/variants/MeLkTFX5z9ZAXojyT6Uu2v.jpg,9975VV,350.00,0,0,0.00,1
6291107455365,Qaed Al Fursan Eau de Parfum for Men 90mL,Eau De Parfum,Lattafa,8.29,1088,https://static.prod.qogita.com/files/images/variants/PbCNgk2YpJkBBqjLnFoDn9.jpg,YEWKXG,600.00,0,0,0.00,6
6290360593166,Lattafa Fakhar Gold EDP Extrait 3.4 Fl Oz,Extrait De Parfum,Lattafa,12.74,390,https://static.prod.qogita.com/files/images/variants/T3mN6T6ZAraSzRNTnmLohj.jpg,D3JKW9,600.00,0,0,0.00,1
0737052351100,Hugo Boss Bottled Eau de Toilette for Men 100ml,Eau De Toilette,Hugo Boss,37.45,120,https://static.prod.qogita.com/files/images/variants/MVPUcTYtSSXtHKB4zNf9k2.jpg,16E19R,350.00,0,0,0.00,1
6290360598666,Lattafa Asad Zanzibar for Men 100ml Eau de Parfum Spray 3.4 Ounce,Eau De Parfum,Lattafa,11.16,3664,https://static.prod.qogita.com/files/images/variants/g6urVLW55K2fHWtF8jever.jpg,2V4GXZ,450.00,0,0,0.00,1
