website,asn_description
bescha.bund.de,"ZIVIT-AS, DE"
eviden.com,"CLARANET-AS ClaraNET LTD, GB"
fb.hamburg.de,"PLUSSERVER-ASN1, DE"
dkrz.de,"DFN Verein zur Foerderung eines Deutschen Forschungsnetzes e.V., DE"
angenvoort-barth.de,"STRATO STRATO AG, DE"
bezreg-koeln.nrw.de,"IT-NRW, DE"
kreis-viersen.de,"KRZN-AS, DE"
degewo.de,"INTERDOTLINK-SYSELEVEN powered by Inter.link, DE"
bo-gruppe.de,"NMM-AS D - 02742 Friedersdorf Hauptstrasse 68, DE"
deutschebahn.com,"BAHN-AS-BLN, DE"
khwe.de,"NCORE-AS HKN GmbH, DE"
konzeptmanagement.de,"STRATO STRATO AG, DE"
lds.sachsen.de,"HETZNER-AS, DE"
karree49.de,"HETZNER-AS, DE"
hamburgwasser.de,"CLOUDFLARENET, US"
mupi.de,"HETZNER-AS, DE"
laiv-mv.de,"DVZ-AS, DE"
wm.mv-regierung.de,"DVZ-AS, DE"
baronmobil.com,"HETZNER-AS, DE"
egst.de,"TTM, DE"
remondis.de,"DTAG Internet service provider operations, DE"
rwe.com,"LINK11 Link11 GmbH, DE"
guenter-fehr.de,"IONOS-AS This is the joint network for IONOS, Fasthosts, Arsys, 1&1 Mail and Media and 1&1 Telecom. Formerly known as 1&1 Internet SE., DE"
stenau.net,"GODADDY-SXB, DE"
kockmann-gmbh.de,"WEBSTYLE-AS, DE"
kreis-herford.de,"DTAG Internet service provider operations, DE"
metallbau-vahle.de,"RATIOKONTAKT, DE"
alzey-land.de,"IONOS-AS This is the joint network for IONOS, Fasthosts, Arsys, 1&1 Mail and Media and 1&1 Telecom. Formerly known as 1&1 Internet SE., DE"
mwvlw.rlp.de,"DTAG Internet service provider operations, DE"
stwm.de,"MWN-AS, DE"
miesbacher-gastroservice.de,"IONOS-AS This is the joint network for IONOS, Fasthosts, Arsys, 1&1 Mail and Media and 1&1 Telecom. Formerly known as 1&1 Internet SE., DE"
altensteig.de,"COMTRANCE-AS, DE"
klotzundpartner.de,"MITTWALD-AS Mittwald CM Service GmbH und Co. KG, DE"
ibfranz.com,"DTAG Internet service provider operations, DE"
gedern.de,"HETZNER-AS, DE"
klinikum-ab-alz.de,"HETZNER-AS, DE"
dreso.com,"MICROSOFT-CORP-MSN-AS-BLOCK, US"
swisslog-healthcare.com,"PLUSSERVER-ASN1, DE"
hs-osnabrueck.de,"DFN Verein zur Foerderung eines Deutschen Forschungsnetzes e.V., DE"
kuhrundkuhr.de,"IONOS-AS This is the joint network for IONOS, Fasthosts, Arsys, 1&1 Mail and Media and 1&1 Telecom. Formerly known as 1&1 Internet SE., DE"
polizei.hessen.de,"PLUSLINE, DE"
kreis-eic.de,"HETZNER-AS, DE"
tlvwa.thueringen.de,"LINK11 Link11 GmbH, DE"
wbs-it.de,"CLOUDPIT, DE"
coda-erfurt.de,"KEYWEB-AS, DE"
profi-ag.de,"NORIS-NETWORK IT Service Provider located in Nuernberg, Germany, DE"
bechtle.com,"ASN-BECHTLE Bechtle AG, DE"
heuking.de,"GRIDSCALE, DE"
vebego.de,"MICROSOFT-CORP-MSN-AS-BLOCK, US"
kubus-mv.de,"TNG-AS TNG Stadtnetz GmbH, DE"
sw-augsburg.de,"MNET-AS Germany, DE"
lsw.de,"HETZNER-AS, DE"
team.de,"MICROSOFT-CORP-MSN-AS-BLOCK, US"
strassen.nrw.de,"IT-NRW, DE"
bv-ingenieure.de,"STRATO STRATO AG, DE"
dguv.de,"DGUV-AS, DE"
clean.de,"HETZNER-AS, DE"
kraus-estrichbau.de,"GD-EMEA-DC-CGN1, DE"
bbt-kanzlei.de,"MITTWALD-AS Mittwald CM Service GmbH und Co. KG, DE"
altho-gmbh.com,"DTAG Internet service provider operations, DE"
zwetko.de,"IONOS-AS This is the joint network for IONOS, Fasthosts, Arsys, 1&1 Mail and Media and 1&1 Telecom. Formerly known as 1&1 Internet SE., DE"
die-tischler.net,"IONOS-AS This is the joint network for IONOS, Fasthosts, Arsys, 1&1 Mail and Media and 1&1 Telecom. Formerly known as 1&1 Internet SE., DE"
augusta-bochum.de,"GODADDY, DE"
msr-gerdes.de,"OSN OSN Online Service Nuernberg GmbH, DE"
kreis-stormarn.de,"SCALEUP, DE"
wp-ingenieure.de,"MITTWALD-AS Mittwald CM Service GmbH und Co. KG, DE"
berlin-airport.de,"AMAZON-02, US"
MWAE.brandenburg.de,"DFN Verein zur Foerderung eines Deutschen Forschungsnetzes e.V., DE"
spie.com,"VEEPEE-SDN, FR"
stbaa.bayern.de,"VODANET International IP-Backbone of Vodafone, DE"
iso-ba.de,"IONOS-AS This is the joint network for IONOS, Fasthosts, Arsys, 1&1 Mail and Media and 1&1 Telecom. Formerly known as 1&1 Internet SE., DE"
buerohauser.com,"MITTWALD-AS Mittwald CM Service GmbH und Co. KG, DE"
stadt-koeln.de,"NETCOLOGNE, DE"
stoelting-gruppe.de,"IONOS-AS This is the joint network for IONOS, Fasthosts, Arsys, 1&1 Mail and Media and 1&1 Telecom. Formerly known as 1&1 Internet SE., DE"
KWS-Kiel.de,"HETZNER-AS, DE"
wis-sicherheit.de,"NETCUP-AS netcup GmbH, DE"
kiel.de,"ADDIX-AS AS-ADDIX Autonomous System, DE"
altus-bau.de,"ONE-NETWORK, DE"
bwb.de,"VERSATEL, DE"
implenia.com,"EVERYWARE-NET, CH"
kreis-ak.de,"DTAG Internet service provider operations, DE"
dmgmori.com,"MICROSOFT-CORP-MSN-AS-BLOCK, US"
stadtreinigung.hamburg,"HETZNER-AS, DE"
mvr-hh.de,"GODADDY-CGN, DE"
mvb-hh.de,"MITTWALD-AS Mittwald CM Service GmbH und Co. KG, DE"
bielefelderbaeder.de,"SW-BIELEFELD-AS, DE"
constrata.de,"GD-EMEA-DC-SXB1, DE"
brocke-loehr.de,"STRATO STRATO AG, DE"
lvr.de,"NETCOLOGNE, DE"
atbputz.de,"STRATO STRATO AG, DE"
bundeswehr.org,"BWI-GMBH, DE"
zoll.com,"CLOUDFLARENET, US"
now-it.de,"MITTWALD-AS Mittwald CM Service GmbH und Co. KG, DE"
opentext.com,"OPENTEXT-NA-CA-1, CA"
coesfeld.de,"TELEMAXX, DE"
provinzial.de,"FITSNET FITS Internet Backbone, DE"
altmarkkreis.de,"LUENECOM-AS, DE"
lvwa.sachsen-anhalt.de,"DATAPORT-AS, DE"
dsd-winterdienst.de,"AMAZON-02, US"
friedberg-hessen.de,"IONOS-AS This is the joint network for IONOS, Fasthosts, Arsys, 1&1 Mail and Media and 1&1 Telecom. Formerly known as 1&1 Internet SE., DE"
clubl94.de,"HETZNER-AS, DE"
bsmf.de,"IONOS-AS This is the joint network for IONOS, Fasthosts, Arsys, 1&1 Mail and Media and 1&1 Telecom. Formerly known as 1&1 Internet SE., DE"
enercity.de,"HTP-AS, DE"
nrwbank.de,"PLANET-, DE"
