Link,Text,profile_conf
https://www.quora.com/profile/Alexiis-Harshini-1/log,not changed,not changed
https://www.quora.com/profile/Doesn-t-Matter-41/log,"1
Try Quora+
Add question
Doesn’t Matter
1 follower
0 following
Follow
Notify me
Ask
Profile
0 Answers
0 Questions
0 Posts
1 Follower
Following
Edits
Activity
Edits
Comment added by
Doesn’t Matter
Because some ppl have been through more shit then you can relate to. And if u had been through it, shit you wouldn’t have made it or if u did, you’d be like others
#1157630395ThankReportJuly 29, 2020 at 6:51:09 AM
User name edited by
Doesn’t Matter
Doesn’t Matter
Stephanie GougeDoesn’t Matter
#1157625397ThankReportJuly 29, 2020 at 6:43:58 AM
Credentials & Highlights
More
Joined November 2015
Doesn’t
has not filled out their profile.",changed
https://www.quora.com/profile/Lily-Jones-154/log,"1
Try Quora+
Add question
Lily Jones
8 followers
16 following
Follow
Notify me
Ask
Profile
5 Answers
0 Questions
2 Posts
8 Followers
Following
Edits
Activity
Edits
Post added by
Lily Jones
#1697833972ThankReportApril 15, 2019 at 8:43:09 AM
Post added by
Lily Jones
#1694224400ThankReportSeptember 27, 2018 at 2:52:48 AM
Comment added by
Lily Jones
perfect answer, I totally agree its never the other person its the person who your married to, the man must have promised her so much for him to act in a certain way how do I know because I have been through it my self……………. he promised me the world then I said to him show me I want action not just saying things verbally, the next day I never heard from him
#996557428ThankReportFebruary 20, 2020 at 3:24:50 AM
Comment added by
Lily Jones
look don't be hard on your self at least you were honest to yourself and didn't waste more time, but I wish you had pulled out earlier
#994720801ThankReportFebruary 18, 2020 at 2:28:21 AM
Comment added by
Lily Jones
you have a break when your dating but I don't believe that's right to say he wants a break from marriage, communicate with him on a higher level and ask for more clarification , what this all means to him
#991343763ThankReportFebruary 14, 2020 at 12:57:03 AM
Comment added by
Lily Jones
yasahme this is the perfect answer, i have no idea why people blame the mistress, she didnt put a gun to your husbands head it was his own will
#990554456ThankReportFebruary 13, 2020 at 3:53:18 AM
Comment added by
Lily Jones
very sad honestly very sad, no words can describe your pain, its not your fault please don't ever blame your self
#958118856ThankReportJanuary 10, 2020 at 1:17:09 AM
Comment added by
Lily Jones
far from wrong I was a mistress me and the married man were so compatible in every way, there was a strong connection, he spoke very highly about his family and the wife the mother of his kids, and guess what there was never never ever sexual activity or money exchange or never promised me any thing only a comfort to talk to a person who understood him, hell yes there was a physical attraction and all but we were two adults who understood there is no point in hurting either party
#957224620ThankReportJanuary 9, 2020 at 5:26:43 AM
Comment added by
Lily Jones
sweet heart I would rather lose the money you paid for the wedding then losing your dignity, trust , and honesty with a cheat, this is a question you shouldn't even been asking get rid of the fuck wit and stop being weak and naïve
