Link,Text,profile_conf
https://www.quora.com/profile/Alexiis-Harshini-1/log,not changed,not changed
https://www.quora.com/profile/Doesn-t-Matter-41/log,"1
Try Quora+
Add question
Doesn’t Matter
1 follower
0 following
Follow
Notify me
Ask
Profile
0 Answers
0 Questions
0 Posts
1 Follower
Following
Edits
Activity
Edits
Comment added by
Doesn’t Matter
Because some ppl have been through more shit then you can relate to. And if u had been through it, shit you wouldn’t have made it or if u did, you’d be like others
#1157630395ThankReportJuly 29, 2020 at 6:51:09 AM
User name edited by
Doesn’t Matter
Doesn’t Matter
Stephanie GougeDoesn’t Matter
#1157625397ThankReportJuly 29, 2020 at 6:43:58 AM
Credentials & Highlights
More
Joined November 2015
Doesn’t
has not filled out their profile.",changed
https://www.quora.com/profile/Lily-Jones-154/log,not changed,not changed
https://www.quora.com/profile/NiNi-Na-1/log,not changed,not changed
https://www.quora.com/profile/Mackenzie-38/log,not changed,not changed
https://www.quora.com/profile/Vie-Jackman/log,"1
Try Quora+
Add question
Vie Jackman
3 followers
3 following
Follow
Notify me
Ask
Profile
0 Answers
1 Question
0 Posts
3 Followers
Following
Edits
Activity
Edits
Answer deleted by
Vie Jackman
#3006382628ThankReportJune 30, 2023 at 3:35:37 PM
Post deleted by
Vie Jackman
#3006381046ThankReportJune 30, 2023 at 3:34:26 PM
Answer deleted by
Vie Jackman
#3006380867ThankReportJune 30, 2023 at 3:34:19 PM
Answer deleted by
Vie Jackman
#3006380667ThankReportJune 30, 2023 at 3:34:09 PM
Answer added by
Vie Jackman
Can I please get the opinion of an orthodontist? Based on these x-rays of my teeth, is it necessary to extract 4 of my premolars for braces treatment? (pics in the comments below)
The author deleted this answer.
#2090295907ThankReportApril 14, 2022 at 11:33:21 AM
Question text edited by
Vie Jackman
Can I please get the opinion of an orthodontist? Based on these x-rays of my teeth, is it necessary to extract 4 of my premolars for braces treatment? (pics in the comments below)
Can I please get the opinion of an orthodontist? Based on these x-rays of my teeth, is it necessary to extract 4 of my premolars for braces treatment?treatment? (pics in the comments below)
#2081805633ThankReportApril 9, 2022 at 3:18:33 PM
Comment added by
Vie Jackman
Xray pics of my teeth!!
#2081804591ThankReportApril 9, 2022 at 3:17:44 PM
Topic added to question by
Vie Jackman
Can I please get the opinion of an orthodontist? Based on these x-rays of my teeth, is it necessary to extract 4 of my premolars for braces treatment? (pics in the comments below)
Ask the Dentist
#2081800199ThankReportApril 9, 2022 at 3:14:17 PM
Topic added to question by
Vie Jackman
Can I please get the opinion of an orthodontist? Based on these x-rays of my teeth, is it necessary to extract 4 of my premolars for braces treatment? (pics in the comments below)
Dentists
#2081800197ThankReportApril 9, 2022 at 3:14:17 PM
Topic added to question by
Vie Jackman
Can I please get the opinion of an orthodontist? Based on these x-rays of my teeth, is it necessary to extract 4 of my premolars for braces treatment? (pics in the comments below)
Tooth Extraction
#2081800196ThankReportApril 9, 2022 at 3:14:17 PM
Topic added to question by
Vie Jackman
Can I please get the opinion of an orthodontist? Based on these x-rays of my teeth, is it necessary to extract 4 of my premolars for braces treatment? (pics in the comments below)
X-Ray Imaging
#2081800195ThankReportApril 9, 2022 at 3:14:17 PM
Question added by
Vie Jackman
Can I please get the opinion of an orthodontist? Based on these x-rays of my teeth, is it necessary to extract 4 of my premolars for braces treatment?
#2081799854ThankReportApril 9, 2022 at 3:14:02 PM
Post added by
Vie Jackman
The author deleted this post.
#1597722103ThankReportJuly 28, 2021 at 9:38:11 PM
Answer added by
Vie Jackman
How can I stop binge eating all the time? I suffer from a binge eating disorder. I am always craving food, and I eat approximately 5000 calories a day. It is seriously affecting my health, and I want to learn how to control my cravings.
The author deleted this answer.
#996677188ThankReportFebruary 20, 2020 at 6:57:58 AM
User name edited by
Vie Jackman
Vie Jackman
Lorivie FragataVie Jackman
#996674297ThankReportFebruary 20, 2020 at 6:53:08 AM
Answer added by
Vie Jackman
Do you have any tips for an OMAD (one meal a day) beginner who has binge eating disorder? I don’t feel hungry during my fast but as soon as I eat, I have trouble stopping eating even when my stomach is extremely full. What should I do?
The author deleted this answer.
#996673886ThankReportFebruary 20, 2020 at 6:52:34 AM
Credentials & Highlights
More
Lives in Singapore
Knows English
Joined November 2015
Knows about
One Meal A Day
Tagalog (language)
English (language)
Singapore",changed
https://www.quora.com/profile/Alo-Guti-1/log,"1
Try Quora+
Add question
Alo Guti
2 followers
0 following
Follow
Notify me
Ask
Profile
2 Answers
0 Questions
0 Posts
2 Followers
Following
Edits
Activity
Edits
Comment added by
Alo Guti
I agree that a therapist should listen to you, and help you around the circumstances you feel comfortable in at the moment. I would first be direct and honest with her about what you feel, and literally explain why you believe that you do not want to make friends.
If she keeps insisting for you to make friends, that is where I would:
A) Move on to another therapist (search for the best fit for you)
B) Give yourself some time without a therapist and see how you respond to that. Therapy is only one way to help. There are unlimited amount of options for you to achieve your goals.
Hope this helps.
#1038571256ThankReportApril 6, 2020 at 8:57:46 PM
Answer added by
Alo Guti
What is the highest salary a CNA can earn in his or her lifetime?
Depends where you live and what you are doing.
If you work for an agency, your pay differs based on the job.
Companies like hospitals and nursing homes sometimes offer a pay increase if CNA hours are in demand, or you may get a sign-on bonus.
I believe, in my experience, private pay with in home care patients make the most per hour/shift. Large agency companies where you travel often begin with an hourly pay of $18 and up.
I have seen anywhere from $9 an hour in nursing homes, to $23/hour in private pay home care.
#1038562341ThankReportApril 6, 2020 at 8:47:28 PM
User name edited by
Alo Guti
Alo Guti
Alondra GomezAlo Guti
#1038558094ThankReportApril 6, 2020 at 8:42:06 PM
Answer added by
Alo Guti
Would it be a bad idea for a male to become a CNA?
Of course not. Most places love having a strong male or two during each shift to help with heavier patients. Males are also well for situations where women feel uncomfortable around men who sexually harass or comment, without a filter, (even though this is not tolerated, it is sometimes easier to avoid the room and spend the rest of the time with other patients). Bringing in a male often allows everyone to feel comfortable and as a CNA, we are very grateful for CNA/Nurse males.
In general, being a CNA promises you a job and even health benefits, and you are needed wherever you go!
#1038556568ThankReportApril 6, 2020 at 8:40:15 PM
Credentials & Highlights
More
7.8K content views56 this month
Joined November 2015
Alo
has not filled out their profile.
Knows about
Mental Health
Mental Illness",changed
https://www.quora.com/profile/Heather-Wordham/log,not changed,not changed
https://www.quora.com/profile/Hannah-Clair-1/log,not changed,not changed
https://www.quora.com/profile/Julia-Boljesic/log,not changed,not changed
